[18:45:56] [info] ENGINE: Successfully initialized Win32 window!
[18:45:56] [info] ENGINE: Successfully initialized DirectX!
[18:46:01] [info] ENGINE: PROFILER: 163800.000000FPS: 239.911728
[18:46:01] [info] ENGINE: PROFILER: 145700.000000FPS: 239.928986
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 239.366165
[18:46:01] [info] ENGINE: PROFILER: 135900.000000FPS: 235.882446
[18:46:01] [info] ENGINE: PROFILER: 136700.000000FPS: 252.334076
[18:46:01] [info] ENGINE: PROFILER: 136100.000000FPS: 231.932480
[18:46:01] [info] ENGINE: PROFILER: 136200.000000FPS: 241.080048
[18:46:01] [info] ENGINE: PROFILER: 140300.000000FPS: 239.641479
[18:46:01] [info] ENGINE: PROFILER: 136100.000000FPS: 202.778046
[18:46:01] [info] ENGINE: PROFILER: 136100.000000FPS: 303.480927
[18:46:01] [info] ENGINE: PROFILER: 139200.000000FPS: 232.520279
[18:46:01] [info] ENGINE: PROFILER: 147000.000000FPS: 239.131485
[18:46:01] [info] ENGINE: PROFILER: 148600.000000FPS: 235.988205
[18:46:01] [info] ENGINE: PROFILER: 143800.000000FPS: 243.457092
[18:46:01] [info] ENGINE: PROFILER: 148800.000000FPS: 235.621231
[18:46:01] [info] ENGINE: PROFILER: 153600.000000FPS: 244.444977
[18:46:01] [info] ENGINE: PROFILER: 142800.000000FPS: 238.880127
[18:46:01] [info] ENGINE: PROFILER: 143700.000000FPS: 241.931580
[18:46:01] [info] ENGINE: PROFILER: 147500.000000FPS: 239.045746
[18:46:01] [info] ENGINE: PROFILER: 145100.000000FPS: 240.303757
[18:46:01] [info] ENGINE: PROFILER: 144500.000000FPS: 240.673874
[18:46:01] [info] ENGINE: PROFILER: 143900.000000FPS: 238.617935
[18:46:01] [info] ENGINE: PROFILER: 142600.000000FPS: 239.905960
[18:46:01] [info] ENGINE: PROFILER: 135700.000000FPS: 241.592590
[18:46:01] [info] ENGINE: PROFILER: 135700.000000FPS: 238.356293
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 241.184692
[18:46:01] [info] ENGINE: PROFILER: 139500.000000FPS: 239.802383
[18:46:01] [info] ENGINE: PROFILER: 135200.000000FPS: 238.971466
[18:46:01] [info] ENGINE: PROFILER: 170100.000000FPS: 240.569672
[18:46:01] [info] ENGINE: PROFILER: 140000.000000FPS: 239.268799
[18:46:01] [info] ENGINE: PROFILER: 135600.000000FPS: 238.572388
[18:46:01] [info] ENGINE: PROFILER: 171000.000000FPS: 241.645111
[18:46:01] [info] ENGINE: PROFILER: 147200.000000FPS: 239.343246
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 237.772552
[18:46:01] [info] ENGINE: PROFILER: 136600.000000FPS: 240.575470
[18:46:01] [info] ENGINE: PROFILER: 136300.000000FPS: 241.540054
[18:46:01] [info] ENGINE: PROFILER: 138700.000000FPS: 239.348969
[18:46:01] [info] ENGINE: PROFILER: 141500.000000FPS: 238.492722
[18:46:01] [info] ENGINE: PROFILER: 135200.000000FPS: 240.714447
[18:46:01] [info] ENGINE: PROFILER: 138600.000000FPS: 236.211166
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 249.600647
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 232.158615
[18:46:01] [info] ENGINE: PROFILER: 143500.000000FPS: 239.658737
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 242.083878
[18:46:01] [info] ENGINE: PROFILER: 140600.000000FPS: 238.914368
[18:46:01] [info] ENGINE: PROFILER: 135100.000000FPS: 241.388458
[18:46:01] [info] ENGINE: PROFILER: 136600.000000FPS: 238.214340
[18:46:01] [info] ENGINE: PROFILER: 172100.000000FPS: 236.255814
[18:46:01] [info] ENGINE: PROFILER: 142400.000000FPS: 242.512421
[18:46:01] [info] ENGINE: PROFILER: 137300.000000FPS: 240.055679
[18:46:01] [info] ENGINE: PROFILER: 136200.000000FPS: 238.874420
[18:46:01] [info] ENGINE: PROFILER: 137000.000000FPS: 241.306915
[18:46:01] [info] ENGINE: PROFILER: 142200.000000FPS: 237.574844
[18:46:01] [info] ENGINE: PROFILER: 152300.000000FPS: 237.925293
[18:46:01] [info] ENGINE: PROFILER: 174200.000000FPS: 239.555374
[18:46:01] [info] ENGINE: PROFILER: 139200.000000FPS: 244.893951
[18:46:01] [info] ENGINE: PROFILER: 143300.000000FPS: 238.401749
[18:46:01] [info] ENGINE: PROFILER: 139500.000000FPS: 239.986557
[18:46:01] [info] ENGINE: PROFILER: 136900.000000FPS: 240.119110
[18:46:01] [info] ENGINE: PROFILER: 156300.000000FPS: 240.749207
[18:46:01] [info] ENGINE: PROFILER: 138300.000000FPS: 238.021561
[18:46:02] [info] ENGINE: PROFILER: 140300.000000FPS: 241.109116
[18:46:02] [info] ENGINE: PROFILER: 147600.000000FPS: 234.356689
